content_id,client_id,baseline_score,baseline_action,baseline_reason_code,avg_position,days_since_last_update,ctr,word_count,impressions_90d
content_a34d943a132c,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,12.7,183,0.0,4447.0,35
content_2265b3e09778,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,8.4,183,0.0,3537.0,12
content_b84c5db2dbad,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.0,211,0.0,829.0,5
content_7b4e68b406b8,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,6.8,211,0.0,763.0,4
content_57d8360dee59,client_19581e27de,85,prune,LOW_IMPRESSIONS_OLD_PAGE,13.3,305,0.0,,10
content_180fabd3a3e0,client_d029fa3a95,85,rewrite metadata,LOW_CTR_ON_PAGE_1,6.0,183,0.83,4633.0,120
content_2e2a634851a0,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,10.6,183,0.0,3928.0,81
content_277fa742f704,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.0,211,0.0,796.0,1
content_fd16e3475c29,client_d029fa3a95,85,rewrite metadata,LOW_CTR_ON_PAGE_1,9.0,183,0.0,4215.0,429
content_df1fa766cac2,client_9400f1b21c,85,rewrite metadata,LOW_CTR_ON_PAGE_1,4.8,304,0.49,1146.0,206
content_7736e6144f3b,client_624b60c58c,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.2,304,0.0,4250.0,11
content_149c671a2a91,client_6208ef0f77,85,prune,LOW_IMPRESSIONS_OLD_PAGE,19.3,235,0.0,5127.0,15
content_8c66ab2089c0,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.3,183,0.0,3805.0,6
content_f488400fca67,client_9400f1b21c,85,rewrite metadata,LOW_CTR_ON_PAGE_1,5.7,305,0.0,1113.0,155
content_94d6b610fb8e,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.4,211,0.0,806.0,11
content_1a4ae9dc2f72,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,18.3,183,0.0,3688.0,50
content_1b4ec72dafd4,client_4ec9599fc2,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.0,372,0.0,,2
content_b6e4581523ed,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,14.0,183,0.0,4537.0,104
content_d661e9eee4b6,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,10.5,183,0.0,4023.0,56
content_3b7c76f80c79,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.0,211,0.0,919.0,13
content_30eb41dff556,client_d029fa3a95,85,rewrite metadata,LOW_CTR_ON_PAGE_1,6.2,183,0.0,4520.0,84
content_7d58c3076247,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.8,183,0.0,3457.0,21
content_84d12054c0c0,client_9400f1b21c,85,prune,LOW_IMPRESSIONS_OLD_PAGE,8.0,304,0.0,1635.0,1
content_06f581dd9383,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,3.3,211,0.0,809.0,4
content_77834a072fd3,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.0,211,0.0,930.0,2
content_dd2e06be1af4,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.6,183,0.0,3926.0,32
content_e2b702f4f92b,client_4ec9599fc2,85,prune,LOW_IMPRESSIONS_OLD_PAGE,9.3,334,0.0,1246.0,30
content_b65fe2792b44,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,16.7,183,0.54,4040.0,371
content_46d354489e12,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,3.3,211,0.0,898.0,3
